title,img,color,price
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Pink
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Purple
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Saffron
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.69,Black
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Burnt Sienna
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Cobalt
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$13.24,Crimson
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Forest Green
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Grey
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Lime
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Orange
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Pink
Mantis,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Purple
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Burnt Sienna
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.33,Cobalt
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Crimson
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Forest Green
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Grey
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.33,Lime
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Orange
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Pink
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Purple
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Saffron
Artemis GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Sky Blue
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Burnt Sienna
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Cobalt
